,SeqNr,Long,Lat,East,North,RealT,LiveT,Dist(m),ROI_A,ROI_A(sd),ROI_B,ROI_B(sd),ROI_C,ROI_C(sd),ROI_PL,ROI_PL(sd),ROI_PR,ROI_PR(sd),ROI_P,ROI_P(sd),ROI_BR,ROI_BR(sd),ROI_K,ROI_K(sd),ROI_U,ROI_U(sd),ROI_T,ROI_T(sd)
11189,11190,14.001982,55.8168366,1386963.2,6189010.4,1.0,1.02,55945,939.72,30.35,474.24,21.56,206.78,14.24,83.91,9.07,73.28,8.48,170.17,12.92,75.58,8.61,103.06,10.05,12.65,3.52,11.85,3.41
11190,11191,14.002026,55.8167992,1386965.9,6189006.1,1.0,1.02,55950,947.51,30.52,467.08,21.43,197.52,13.94,84.47,9.11,69.71,8.28,168.28,12.86,75.55,8.62,102.24,10.03,10.58,3.22,10.76,3.25
11191,11192,14.0020712,55.8167622,1386968.6,6189001.9,1.0,1.01,55955,952.6,30.74,469.43,21.58,188.83,13.69,84.12,9.13,67.64,8.19,165.08,12.8,75.94,8.68,105.27,10.22,8.94,2.98,7.77,2.78
11192,11193,14.0021169,55.8167253,1386971.3,6188997.8,1.0,1.0,55960,952.63,30.85,471.89,21.71,181.84,13.48,83.87,9.15,66.38,8.14,161.87,12.72,76.11,8.72,106.82,10.33,8.07,2.84,5.29,2.3
11193,11194,14.0021621,55.8166884,1386974.1,6188993.6,1.0,1.0,55965,945.24,30.71,465.59,21.55,177.59,13.31,84.59,9.19,65.27,8.07,159.85,12.63,75.51,8.68,102.05,10.09,8.24,2.87,5.55,2.35
11194,11195,14.0022065,55.816651,1386976.7,6188989.3,1.0,1.01,55970,928.71,30.31,450.92,21.12,176.18,13.2,85.04,9.17,64.11,7.96,157.94,12.5,74.55,8.59,93.87,9.64,9.23,3.02,8.06,2.82
11195,11196,14.0022496,55.8166132,1386979.3,6188985.1,1.0,1.02,55975,901.73,29.75,434.57,20.65,177.01,13.18,82.59,9.0,62.99,7.86,153.55,12.28,74.34,8.54,90.45,9.42,10.51,3.21,10.49,3.21
11196,11197,14.0022911,55.8165749,1386981.8,6188980.7,1.0,1.02,55980,864.37,29.11,422.92,20.36,179.46,13.26,75.14,8.58,62.0,7.79,144.64,11.91,75.87,8.62,98.58,9.83,11.57,3.37,10.79,3.25
11197,11198,14.0023318,55.8165363,1386984.3,6188976.4,1.0,1.01,55985,827.57,28.56,418.95,20.32,182.46,13.41,65.13,8.01,61.28,7.77,133.83,11.49,79.31,8.84,113.32,10.57,12.32,3.48,9.45,3.05
11198,11199,14.002373,55.8164979,1386986.7,6188972.0,1.0,1.0,55990,807.48,28.37,424.02,20.56,184.7,13.57,57.17,7.55,60.99,7.8,125.97,11.2,84.42,9.17,124.13,11.12,12.87,3.58,8.13,2.85
