SeqNr,Long,Lat,East,North,RealT,LiveT,Dist(m),ROI_A,ROI_A(sd),ROI_B,ROI_B(sd),ROI_C,ROI_C(sd),ROI_PL,ROI_PL(sd),ROI_PR,ROI_PR(sd),ROI_P,ROI_P(sd),ROI_BR,ROI_BR(sd),ROI_K,ROI_K(sd),ROI_U,ROI_U(sd),ROI_T,ROI_T(sd)
11343,14.0094506,55.8115796,1387416.1,6188413,1,1,56710,869.07,29.43,391.22,19.74,165.25,12.83,71.75,8.45,51.22,7.14,129.32,11.35,83.78,9.14,101.08,10.04,13.43,3.66,13.45,3.66
11344,14.0095243,55.8115624,1387420.7,6188411,1,1,56715,908.51,30.1,417.3,20.4,166.56,12.89,70.25,8.37,44.59,6.67,120.97,10.98,75.9,8.7,115.97,10.75,12.4,3.52,11.4,3.37
11345,14.0095976,55.8115447,1387425.2,6188408.9,1,0.99,56720,899.25,30.07,427.6,20.73,163.99,12.84,70.38,8.41,39.86,6.33,116.04,10.8,77.12,8.81,120.67,11.02,11.69,3.43,11.22,3.36
11346,14.0096709,55.8115269,1387429.8,6188406.8,1,0.98,56725,847.31,29.36,418.41,20.63,159.03,12.72,72,8.56,37.7,6.19,115.25,10.83,86.52,9.38,114.27,10.78,11.44,3.41,12.93,3.63
11347,14.0097443,55.8115094,1387434.3,6188404.7,1,0.98,56730,799.28,28.58,400.96,20.24,157.86,12.7,72.76,8.62,36.28,6.09,114.88,10.84,95.6,9.89,106.3,10.42,11.3,3.4,14.92,3.9
11348,14.0098183,55.8114927,1387438.9,6188402.7,1,0.99,56735,798.11,28.39,386.48,19.76,165.87,12.94,70.5,8.44,33.9,5.85,111.56,10.61,96.37,9.87,105.73,10.33,10.95,3.33,15.67,3.98
11349,14.009893,55.811477,1387443.6,6188400.8,1,1.01,56740,833.99,28.74,380.35,19.41,178.94,13.31,66.21,8.1,31.47,5.58,106.55,10.27,89.16,9.4,111.51,10.51,10.61,3.24,15.48,3.91
11350,14.0099681,55.8114619,1387448.2,6188399.1,1,1.02,56745,866.18,29.14,384.59,19.42,187.33,13.55,62.69,7.84,31.42,5.55,103.91,10.09,79.14,8.81,116.75,10.7,10.8,3.25,15.71,3.93
11351,14.0100436,55.8114473,1387452.9,6188397.3,1,1.01,56750,864.67,29.28,398.65,19.88,184.55,13.53,61.79,7.83,35.12,5.9,106.04,10.25,70.93,8.39,116.37,10.74,11.85,3.43,17.1,4.12
11352,14.0101186,55.8114321,1387457.6,6188395.5,1,0.99,56755,840.25,29.15,412.76,20.43,176.09,13.35,61.86,7.91,39.88,6.35,109.14,10.51,66.87,8.22,112.25,10.66,13.34,3.67,18.03,4.27
